rank,time,date,name,position,DOB,venue,nationality
78,15:29.02,12 MAY 2001,Naomi SAKASHITA,6,25 MAY 1975,Osaka (JPN),JPN
79,15:29.47,07 JUL 2001,Yuko MANABE,2,08 FEB 1979,Brunswick (USA),JPN
80,15:29.55,23 NOV 2001,Xiaoming WANG,10,03 FEB 1985,Guangzhou (CHN),CHN
81,15:29.60,12 MAY 2001,Courtney BABCOCK,2,30 JUN 1972,Eugene (USA),CAN
82,15:29.64,29 APR 2001,Takako KOTORIDA,2,02 APR 1977,Hiroshima (JPN),JPN
83,15:29.73,15 SEP 2001,Harumi HIROYAMA-SUZUKI,5,02 SEP 1968,Yokohama (JPN),JPN
84,15:29.87,15 SEP 2001,Noriko TAKAHASHI,6,25 JUL 1979,Yokohama (JPN),JPN
85,15:29.96,09 AUG 2001,Werknesh KIDANE,11h1,07 JAN 1981,Edmonton (CAN),ETH
86,15:29.98,22 JUL 2001,Ines MONTEIRO,3,18 MAY 1980,Lisboa (POR),POR
87,15:30.00,22 JUN 2001,Margaret OKAYO,2,30 MAY 1976,Nairobi (KEN),KEN
88,15:30.04,17 OCT 2001,Ikumi NAGAYAMA,4,22 JUN 1974,Rifu (JPN),JPN
89,15:30.15,03 MAY 2001,Yoshiko ICHIKAWA,2,18 APR 1976,Shizuoka (JPN),JPN
90,15:30.42,24 JUN 2001,Cheri GODDARD-KENAH,6,26 DEC 1970,Eugene (USA),USA
91,15:30.63,31 AUG 2001,Alesya TURAVA,11,06 DEC 1979,Berlin (GER),BLR
92,15:30.88,17 OCT 2001,Mari OZAKI,5,16 JUL 1975,Rifu (JPN),JPN
93,15:32.31,15 SEP 2001,Ejegayehu DIBABA,7,21 MAR 1982,Yokohama (JPN),ETH
94,15:32.59,27 JUL 2001,Olga ROMANOVA,2,23 MAY 1980,Moskva (RUS),RUS
95,15:33.02,04 SEP 2001,Naomi MUGO,6,02 JAN 1977,Brisbane (AUS),KEN
96,15:33.40,24 JUN 2001,Elisa REA,5,23 MAR 1968,Bremen (GER),ITA
97,15:33.66,14 OCT 2001,Minori HAYAKARI,1,29 NOV 1972,Kobe (JPN),JPN
98,15:33.76,09 JUN 2001,Rie UENO,3,11 JUN 1976,Tokyo (JPN),JPN
99,15:34.49,29 APR 2001,Hisae YOSHIMATSU,3,13 MAY 1979,Hiroshima (JPN),JPN
100,15:34.64,08 JUL 2001,Yumiko OKAMOTO,2,28 MAR 1978,Sapporo (JPN),JPN
101,15:34.90,17 OCT 2001,Chiemi TAKAHASHI,6,16 FEB 1976,Rifu (JPN),JPN
102,15:35.13,08 JUL 2001,Yukiko AKABA,3,18 OCT 1979,Sapporo (JPN),JPN
103,15:35.54,29 APR 2001,Hongxia WANG,4,13 JAN 1975,Hiroshima (JPN),CHN
104,15:35.70,15 JUN 2001,Tatyana ARYASOVA,1,02 APR 1979,Cheboksary (RUS),RUS
105,15:35.83,15 JUL 2001,Olga ROSSEYEVA,1,01 AUG 1981,Tula (RUS),RUS
106,15:36.31,12 MAY 2001,Jennifer CRAIN,3,12 FEB 1968,Eugene (USA),USA
107,15:36.38,14 OCT 2001,Momoe SHINTA,3,28 MAY 1979,Kobe (JPN),JPN
108,15:36.69,23 JUN 2001,Simona STAICU,3,05 MAY 1971,Budapest (HUN),HUN
109,15:36.88,14 OCT 2001,Miwako YAMANAKA,5,24 MAY 1978,Kobe (JPN),JPN
110,15:37.12,10 JUL 2001,Kristin BEANEY-CHISUM,3,30 JUN 1972,Montreal (CAN),USA
111,15:37.22,15 JUL 2001,Lyudmila VASILYEVA,2,20 OCT 1969,Tula (RUS),RUS
112,15:38.17,29 APR 2001,Mami KUSUNOKI,6,08 SEP 1975,Hiroshima (JPN),JPN
113,15:38.43,12 MAY 2001,Yoko SHIBUI,9,14 MAR 1979,Osaka (JPN),JPN
114,15:38.53,15 JUN 2001,Anastasiya ZUBOVA,2,06 AUG 1979,Cheboksary (RUS),RUS
115,15:38.75,30 SEP 2001,Yukari SAITO,1,17 MAR 1980,Tokyo (JPN),JPN
116,15:39.37,10 AUG 2001,Anja SMOLDERS,1,02 JUN 1973,Utrecht (NED),BEL
117,15:39.38,14 OCT 2001,Makiko KAWASHIMA,6,05 AUG 1977,Kobe (JPN),JPN
118,15:39.77,25 MAY 2001,Tina CONNELLY,1,16 AUG 1970,Victoria (CAN),CAN
119,15:39.82,03 MAY 2001,Guixia ZHENG,9,24 JUN 1973,Shizuoka (JPN),CHN
120,15:39.88,03 MAY 2001,Kyoko KATAFUCHI,10,12 MAR 1980,Shizuoka (JPN),JPN
121,15:39.96,01 JUL 2001,Tetyana BELOVOL,1,07 OCT 1969,Kiev (UKR),UKR
122,15:40.46,29 APR 2001,Haruko YAMAMOTO,7,31 OCT 1981,Hiroshima (JPN),JPN
123,15:40.55,14 JUL 2001,Katalin SZENTGY&#214;RGYI,1,1979,Amsterdam (NED),HUN
124,15:40.58,04 JUL 2001,Cl&#225;udia PEREIRA,6,20 FEB 1976,Braga (POR),POR
125,15:40.65,30 SEP 2001,Miwa KIRIHARA,3,03 AUG 1982,Kanazawa (JPN),JPN
126,15:40.84,30 SEP 2001,Kaori SATO,3,15 MAY 1980,Tokyo (JPN),JPN
127,15:41.09,01 JUL 2001,Svetlana NEKHOROSH,2,22 JUL 1973,Kiev (UKR),UKR
128,15:41.13,23 JUN 2001,An&#225;lia ROSA,3,28 FEB 1976,Bilbao (ESP),POR
129,15:41.39,24 JUN 2001,Luminita ZAITUC,6,09 OCT 1968,Bremen (GER),GER
130,15:41.59,12 MAY 2001,Annette HAND-PETERS,4,31 MAY 1965,Eugene (USA),USA
131,15:41.60,13 OCT 2001,Mika OKUNAGA,2,27 OCT 1982,Tashima (JPN),JPN
132,15:41.77,24 JUN 2001,Kara GOUCHER,7,09 JUL 1978,Eugene (USA),USA
133,15:41.90,14 OCT 2001,Asuka KATO,8,07 MAR 1980,Kobe (JPN),JPN
134,15:42.00,29 MAY 2001,Liliya SHOBUKHOVA,1,13 NOV 1977,Yekaterinburg (RUS),RUS
134,15:42.00,24 OCT 2001,Rie MATSUOKA,1,09 MAR 1977,Toyonaka (JPN),JPN
136,15:42.19,03 MAY 2001,Kazue OGOSHI,12,02 MAR 1981,Shizuoka (JPN),JPN
137,15:42.27,17 JUL 2001,Silvia SOMMAGGIO,13,20 NOV 1969,Stockholm (SWE),ITA
138,15:42.52,22 APR 2001,Meihua LI,2,26 DEC 1977,Zhongshan (CHN),CHN
139,15:42.80,09 JUN 2001,Esther Wanjiru MAINA,9,27 MAR 1977,Tokyo (JPN),KEN
140,15:42.95,14 JUL 2001,Claudia STALDER,14,20 SEP 1972,Heusden-Zolder (BEL),SUI
141,15:43.01,14 OCT 2001,Sachie OZAKI,9,12 MAR 1977,Kobe (JPN),JPN
142,15:43.06,14 JUL 2001,Hanan FARHOUN,15,26 MAY 1974,Heusden-Zolder (BEL),FRA
143,15:43.15,19 MAY 2001,Marina DUBROVA,2,09 DEC 1978,Kiev (UKR),UKR
144,15:43.17,23 NOV 2001,Shujing ZHANG,11,13 SEP 1978,Guangzhou (CHN),CHN
145,15:43.72,25 MAY 2001,Margarita TAPIA,2,16 NOV 1976,Victoria (CAN),MEX
145,15:43.72,14 OCT 2001,Tomoko HADORI,10,28 MAY 1981,Kobe (JPN),JPN
147,15:43.73,09 JUN 2001,Adriana FERN&#193;NDEZ MIRANDA,3,04 APR 1971,Palo Alto (USA),MEX
148,15:44.11,23 JUN 2001,Mar&#237;a Luisa LARRAGA,4,10 DEC 1970,Bilbao (ESP),ESP
149,15:44.51,26 MAY 2001,Ji LI,2,19 SEP 1979,Osaka (JPN),CHN
150,15:44.54,22 JUN 2001,Lenah CHERUIYOT,2,01 MAR 1973,Utrecht (NED),KEN
151,15:44.74,22 APR 2001,Zhang YANG,3,20 JUL 1983,Zhongshan (CHN),CHN
152,15:44.86,14 JUL 2001,Nasria AZAIDJ,16,29 OCT 1971,Heusden-Zolder (BEL),ALG
153,15:45.04,14 JUL 2001,Tereza YOHANNES,1,1982,Maia (POR),ETH
153,15:45.04,15 JUL 2001,Lucy Kabuu WANGUI,1,24 MAR 1984,Aomori (JPN),KEN
155,15:45.12,24 JUN 2001,Nicole JEFFERSON-AISH,8,08 MAR 1976,Eugene (USA),USA
156,15:45.15,12 MAY 2001,Eyerusalem KUMA,11,07 SEP 1981,Osaka (JPN),ETH
157,15:45.63,14 JUL 2001,Ines CHENONGE,2,01 FEB 1982,Maia (POR),KEN
157,15:45.63,30 SEP 2001,Yukitomo IGUCHI,6,1981,Kanazawa (JPN),JPN
159,15:45.95,17 JUN 2001,Maria PROTOPAPPA,2,05 MAY 1973,Athina (GRE),GRE
160,15:46.76,04 JUL 2001,Analidia TORRE,7,10 OCT 1976,Braga (POR),POR
161,15:46.91,08 APR 2001,Naoko SAKATA,4,01 MAY 1982,Kumamoto (JPN),JPN
162,15:46.99,15 JUL 2001,Galina ALEKSANDROVA,3,15 OCT 1975,Tula (RUS),RUS
163,15:47.44,14 OCT 2001,Takami NISHIYAMA,12,17 OCT 1980,Kobe (JPN),JPN
164,15:47.60,29 MAY 2001,Alena SAMOKHVALOVA,2,21 NOV 1980,Yekaterinburg (RUS),RUS
165,15:47.78,30 SEP 2001,Namie YAMAMOTO,7,18 FEB 1980,Kanazawa (JPN),JPN
166,15:48.00,16 FEB 2001,Samukeliso MOYO,1,1974,Adelaide (AUS),ZIM
167,15:48.11,20 MAY 2001,Mizuki NOGUCHI,1,03 JUL 1978,Otsu (JPN),JPN
168,15:48.13,09 AUG 2001,Inga JUODEŠKIEN&#201;,15h2,21 OCT 1971,Edmonton (CAN),LTU
169,15:48.27,15 JUL 2001,Yelena ZHILKINA,4,05 FEB 1973,Tula (RUS),RUS
170,15:48.30,30 SEP 2001,Kumi TANABE,9,02 APR 1981,Kanazawa (JPN),JPN
171,15:48.45,01 SEP 2001,Rosemary RYAN,4,08 NOV 1975,Beijing (CHN),IRL
172,15:48.89,31 MAR 2001,Kimberly FITCHEN-YOUNG,1,03 SEP 1968,Palo Alto (USA),USA
173,15:49.16,14 JUL 2001,Clarisse CRUZ,3,09 JUL 1978,Maia (POR),POR
174,15:49.84,20 APR 2001,Lauren FLESHMAN,4,26 SEP 1981,Walnut (USA),USA
175,15:50.13,09 MAY 2001,Sabrina MOCKENHAUPT,1,06 DEC 1980,Koblenz (GER),GER
176,15:50.18,14 JUL 2001,Nebiat HABTEMARIAM,4,29 DEC 1978,Maia (POR),ERI
177,15:50.42,12 MAY 2001,Blake PHILLIPS-RUSSELL,5,24 JUL 1975,Eugene (USA),USA
178,15:50.52,04 MAY 2001,Elizabeth JACKSON,1,27 OCT 1977,Palo Alto (USA),USA
179,15:50.89,30 SEP 2001,Hiromi FUJII,10,07 FEB 1983,Kanazawa (JPN),JPN
179,15:50.89,30 SEP 2001,Katsuko KANNO,4,13 MAY 1980,Tokyo (JPN),JPN
181,15:50.97,14 JUL 2001,Etaferahu TAREKEGN,17,19 APR 1980,Heusden-Zolder (BEL),ETH
182,15:51.39,30 SEP 2001,Mayumi TANAKA,11,22 AUG 1974,Kanazawa (JPN),JPN
183,15:51.73,12 MAY 2001,Collette LISS-DOUGLAS,6,29 APR 1973,Eugene (USA),USA
184,15:52.05,27 JUL 2001,Silviya SKVORTSOVA,3,16 NOV 1974,Moskva (RUS),RUS
185,15:52.06,30 SEP 2001,Rose WANJIRU,12,1981,Kanazawa (JPN),KEN
186,15:52.15,29 JUN 2001,Silvia WEISSTEINER,1,13 JUL 1979,Milano (ITA),ITA
187,15:52.51,30 SEP 2001,Akane OTSUKA,13,23 OCT 1976,Kanazawa (JPN),JPN
188,15:52.65,24 JUN 2001,Melissa GULLI,9,22 NOV 1979,Eugene (USA),USA
189,15:52.66,11 MAR 2001,Elizabeth MILLER,1,08 NOV 1963,Hobart (AUS),AUS
189,15:52.66,08 APR 2001,Yasuko OWATARI,9,11 DEC 1983,Kumamoto (JPN),JPN
191,15:52.68,25 MAY 2001,Lisa HARVEY,3,07 FEB 1970,Victoria (CAN),CAN
192,15:52.76,26 MAY 2001,Yoko MANABE,10,08 FEB 1979,Nobeoka (JPN),JPN
193,15:53.48,01 JUL 2001,Ilona BARVANOVA,4,13 AUG 1972,Kiev (UKR),UKR
194,15:53.50,24 JUN 2001,Marie DAVIS,10,07 MAY 1977,Eugene (USA),USA
195,15:53.84,23 NOV 2001,Yuhong ZHANG,12,15 JAN 1983,Guangzhou (CHN),CHN
196,15:54.40,08 APR 2001,Megumi KOBAYASHI,11,04 AUG 1976,Kumamoto (JPN),JPN
197,15:54.72,09 JUN 2001,Sarah HANN,4,04 JAN 1973,Palo Alto (USA),USA
198,15:54.74,24 JUN 2001,Amy YODER BEGLEY,11,11 JAN 1978,Eugene (USA),USA
199,15:54.75,28 NOV 2001,Keiko ISOGAI,3,22 JUL 1981,Hachioji (JPN),JPN
200,15:54.82,28 NOV 2001,Yoshimi OZAKI,4,01 JUL 1981,Hachioji (JPN),JPN
201,15:54.90,23 JUN 2001,Amanda PARKINSON,1,21 JUL 1971,Solihull (GBR),GBR
202,15:54.93,09 MAY 2001,Melanie KRAUS,2,24 OCT 1974,Koblenz (GER),GER
203,15:55.14,07 JUL 2001,Kim MCGREEVY,5,15 JUN 1975,Brunswick (USA),USA
204,15:55.26,08 APR 2001,Mika MATSUMOTO,12,24 NOV 1984,Kumamoto (JPN),JPN
205,15:55.35,04 MAY 2001,Maggie Man Yee CHAN,3,28 OCT 1975,Palo Alto (USA),CHN
206,15:55.41,14 OCT 2001,Masayo KOBAYASHI,13,04 FEB 1980,Kobe (JPN),JPN
207,15:55.55,23 NOV 2001,Juan LU,13,16 AUG 1986,Guangzhou (CHN),CHN
208,15:55.58,04 MAY 2001,Kelly CORDELL,4,24 JAN 1970,Palo Alto (USA),USA
209,15:55.59,30 SEP 2001,Ai YAMAMOTO,16,06 JUL 1978,Kanazawa (JPN),JPN
210,15:55.82,30 SEP 2001,Ayanoa KOZUKA,17,27 OCT 1977,Kanazawa (JPN),JPN
211,15:55.91,20 APR 2001,Rachel SAUDER-KINSMAN,6,16 MAR 1974,Walnut (USA),USA
212,15:56.01,23 NOV 2001,Xiuying HU,14,08 OCT 1978,Guangzhou (CHN),CHN
213,15:56.09,13 MAY 2001,Felicia WAMBUI,2,15 AUG 1983,Mutsu (JPN),KEN
214,15:56.15,09 JUN 2001,Kaori YOSHIDA,12,04 AUG 1981,Tokyo (JPN),JPN
215,15:56.27,14 OCT 2001,Hiromi OMINAMI,15,15 NOV 1975,Kobe (JPN),JPN
216,15:56.63,14 OCT 2001,Rika NAKAMURA,16,14 JAN 1981,Kobe (JPN),JPN
217,15:56.66,17 JUL 2001,Teyba ERKESSO,15,30 OCT 1982,Stockholm (SWE),ETH
218,15:56.67,19 MAY 2001,Olena FADEEVA,3,23 JUN 1966,Kiev (UKR),UKR
219,15:56.68,20 APR 2001,Kristin PRICE,7,25 NOV 1981,Walnut (USA),USA
220,15:56.71,14 OCT 2001,Miki OYAMA,17,22 OCT 1979,Kobe (JPN),JPN
221,15:56.82,01 JUL 2001,Olga KOZEL,5,25 MAR 1970,Kiev (UKR),UKR
222,15:56.91,14 OCT 2001,Risa HAGIWARA,18,22 NOV 1982,Kobe (JPN),JPN
223,15:57.27,18 AUG 2001,Alessandra AGUILAR,6,01 JUL 1978,San Sebasti&#225;n (ESP),ESP
224,15:57.29,29 JUN 2001,Helan LI,3,02 JAN 1978,Chengdu (CHN),CHN
225,15:57.32,23 MAY 2001,Angela NEWPORT DAVIES,2,21 OCT 1970,Wythenshawe (GBR),GBR
226,15:57.40,23 JUN 2001,Juliet POTTER-DOYLE,2,24 OCT 1981,Solihull (GBR),GBR
227,15:57.55,27 MAY 2001,Maria Cristina GROSU,1,11 NOV 1976,Bucuresti (ROU),ROU
228,15:57.61,15 JUL 2001,Catherine BERRY,4,08 OCT 1975,Birmingham (GBR),GBR
229,15:57.64,14 OCT 2001,Ryoko KITAJIMA-EDA,19,12 JUN 1976,Kobe (JPN),JPN
230,15:57.83,01 AUG 2001,Sylvia NUSSBECK,1,05 APR 1977,Troisdorf (GER),GER
231,15:57.91,26 JUL 2001,Krisztina PAPP,2,17 DEC 1982,Ny&#237;regyh&#225;za (HUN),HUN
232,15:58.06,14 OCT 2001,Takami OMINAMI,21,15 NOV 1975,Kobe (JPN),JPN
233,15:58.25,14 OCT 2001,Hiroko MASAI,22,18 JUN 1980,Kobe (JPN),JPN
234,15:58.28,29 APR 2001,Yuki SAITO,13,25 SEP 1980,Hiroshima (JPN),JPN
235,15:58.29,04 MAY 2001,Sally GLYNN-HAUSER,6,11 MAR 1978,Palo Alto (USA),USA
236,15:58.35,08 JUL 2001,Ai ICHIMARU,10,24 JUN 1977,Sapporo (JPN),JPN
237,15:58.47,14 JUL 2001,Sonja STOLIĆ,5,21 APR 1980,Amsterdam (NED),SRB
238,15:58.53,09 JUN 2001,Sakiyo KAN,1,14 MAY 1980,Kita-Kyushu (JPN),JPN
238,15:58.53,10 JUL 2001,Sarah DUPR&#201;-HEALY,6,29 MAR 1976,Montreal (CAN),CAN
240,15:58.61,09 JUN 2001,Katie MCGREGOR,6,02 SEP 1977,Palo Alto (USA),USA
241,15:58.64,26 MAY 2001,Kumiko HIYAMA,14,08 OCT 1978,Nobeoka (JPN),JPN
242,15:58.65,27 MAY 2001,Luminiţa GOG&#206;RLEA,2,05 NOV 1971,Bucuresti (ROU),ROU
243,15:58.86,23 JUN 2001,Judit PLA,6,02 MAY 1978,Bilbao (ESP),ESP
244,15:58.89,14 OCT 2001,Kiyomi MIYAGAMI,24,01 DEC 1976,Kobe (JPN),JPN
245,15:58.90,30 SEP 2001,Asuka SAKAMOTO,19,17 FEB 1981,Kanazawa (JPN),JPN
246,15:59.20,23 JUN 2001,Sonia BEJARANO,7,02 AUG 1981,Bilbao (ESP),ESP
247,15:59.25,12 MAY 2001,Sarah TOLAND,7,12 DEC 1978,Eugene (USA),USA
248,15:59.39,08 OCT 2001,Guomei CUI,1,02 JUL 1979,Toin (JPN),CHN
249,15:59.40,22 JUN 2001,Vivian Jepkemoi CHERUIYOT,4,11 SEP 1983,Nairobi (KEN),KEN
249,15:59.40,22 JUN 2001,Fridah DOMONGOLE,5,15 JAN 1984,Nairobi (KEN),KEN
251,15:59.64,14 OCT 2001,Emi IMAI,25,29 MAY 1982,Kobe (JPN),JPN
252,15:59.68,08 APR 2001,Kimi NISHIYAMA,14,17 OCT 1980,Kumamoto (JPN),JPN
253,15:59.81,16 JUN 2001,Yanrong WANG,1,16 OCT 1976,Amagasaki (JPN),CHN
254,15:59.83,16 JUN 2001,Noriko MATSUOKA,1,02 MAY 1979,Hamamatsu (JPN),JPN
255,15:59.88,26 MAY 2001,Megumi HASEGAWA,17,09 SEP 1980,Nobeoka (JPN),JPN
256,16:00.05,22 APR 2001,Chen FANG,7,28 OCT 1982,Zhongshan (CHN),CHN
257,16:00.44,26 JUL 2001,Erika CSOMOR,3,08 NOV 1973,Ny&#237;regyh&#225;za (HUN),HUN
258,16:00.55,16 JUN 2001,Fatiha KLILECH-FAUVEL,1,01 FEB 1975,Villefranche-sur-Saone (FRA),FRA
259,16:00.81,03 MAY 2001,Eri YAMAGUCHI,19,14 JAN 1973,Shizuoka (JPN),JPN
260,16:00.87,20 APR 2001,Kara ORMOND,11,17 JUN 1977,Walnut (USA),USA
260,16:00.87,22 SEP 2001,Kazue AWAI,1,20 OCT 1984,Konosu (JPN),JPN
